Bölge,Şehir,İstasyon,Tarih,PM10 (µg/m³),SO2 (µg/m³),NO2 (µg/m³),NOX (µg/m³),NO (µg/m³)
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-12 00:00:56,27.96,7.1,53.97,127.63,41.54
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-13 00:00:56,26.88,7.06,56.45,140.46,48.15
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-14 00:00:56,19.34,4.31,30.58,88.28,35.97
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-15 00:00:56,12.81,2.49,19.99,58.66,25.37
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-16 00:00:56,11.41,3.41,29.2,70.07,26.67
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-17 00:00:56,11.03,4.43,24.62,59.88,23.02
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-18 00:00:56,16.28,3.01,23.11,56.49,17.94
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-19 00:00:56,19.11,3.66,27.05,75.76,25.21
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-20 00:00:56,18.71,4.26,27.56,103.61,43.11
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-21 00:00:56,38.7,4.8,39.1,199.94,77.95
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-22 00:00:56,65.6,6.82,46.24,311.54,130.18
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-23 00:00:56,62.22,5.61,59.19,328.77,132.89
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-24 00:00:56,53.82,5.83,54.6,355.05,155.58
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-25 00:00:56,67.47,7.03,54.78,385.39,173.3
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-26 00:00:56,46.18,5.85,22.46,142.21,47.76
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-27 00:00:56,21.79,3.74,29.28,61.67,20.92
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-28 00:00:56,40.95,3.0,50.28,99.86,32.31
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-02-29 00:00:56,37.42,3.29,30.04,64.47,22.52
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-01 00:00:56,29.16,2.22,34.19,70.28,23.57
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-02 00:00:56,32.97,2.43,44.98,94.51,32.16
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-03 00:00:56,27.86,2.1,49.58,100.52,33.3
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-04 00:00:56,36.03,2.73,53.81,133.44,51.86
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-05 00:00:56,44.14,4.38,60.12,146.6,56.47
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-06 00:00:56,22.88,2.13,35.11,69.15,22.24
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-07 00:00:56,42.27,3.8,46.36,149.79,67.33
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-08 00:00:56,24.65,2.44,31.71,56.78,16.38
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-09 00:00:56,18.42,1.72,29.67,77.48,23.01
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-10 00:00:56,36.18,3.79,40.37,161.49,65.95
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-11 00:00:56,65.21,4.57,62.61,317.52,153.15
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-12 00:00:56,58.97,5.16,60.56,267.03,121.52
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-13 00:00:56,20.59,1.73,37.15,112.52,36.02
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-14 00:00:56,37.06,4.07,43.6,229.48,108.13
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-15 00:00:56,21.01,3.45,32.67,82.77,32.09
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-16 00:00:56,32.17,3.82,50.84,143.12,60.07
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-17 00:00:56,27.06,4.53,43.02,110.63,44.34
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-18 00:00:56,38.43,4.48,69.51,181.24,72.8
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-19 00:00:56,47.56,8.46,67.79,217.42,97.51
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-20 00:00:56,15.01,2.49,22.69,50.34,18.01
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-21 00:00:56,31.95,3.89,55.7,162.45,69.61
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-22 00:00:56,16.06,3.91,26.84,82.74,28.81
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-23 00:00:56,44.17,3.17,47.48,205.58,90.11
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-24 00:00:56,44.33,6.61,56.27,228.88,99.47
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-25 00:00:56,22.56,5.36,33.92,92.74,26.34
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-26 00:00:56,25.13,2.27,34.96,143.05,48.54
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-27 00:00:56,45.99,5.78,49.75,331.79,135.38
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-28 00:00:56,72.79,7.08,44.09,307.74,105.82
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-29 00:00:56,67.77,6.25,52.21,336.11,118.98
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-30 00:00:56,91.55,9.71,76.67,485.47,199.09
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-03-31 00:00:56,76.3,6.77,54.16,290.67,93.43
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-01 00:00:56,65.98,9.43,70.01,223.15,83.82
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-02 00:00:56,79.14,11.07,108.03,390.26,183.8
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-03 00:00:56,39.73,4.48,67.1,155.66,57.79
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-04 00:00:56,28.85,3.44,68.7,158.92,58.83
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-05 00:00:56,29.39,3.95,69.47,161.34,59.91
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-06 00:00:56,27.28,3.34,70.09,168.99,64.44
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-07 00:00:56,23.32,5.49,52.95,117.12,41.81
